fecha,fuente,id,precio_eur,anio,km,modelo,combustible,transmision,ciudad,cp,url,foto
2026-04-29,wallapop,toyota-celica-143-cv-1-8-vvt-i-1245575631,8499,2005,309000,"Toyota Celica 143 cv, 1.8 VVT-i",,,,,https://es.wallapop.com/item/toyota-celica-143-cv-1-8-vvt-i-1245575631,
2026-04-29,wallapop,toyota-celica-2002-1223453316,6000,2002,180000,toyota celica tuning,,,,,https://es.wallapop.com/item/toyota-celica-2002-1223453316,
2026-04-29,wallapop,toyota-celica-2002-1232222851,12700,2002,210000,Toyota Celica T23,,,,,https://es.wallapop.com/item/toyota-celica-2002-1232222851,
2026-04-29,wallapop,toyota-celica-2002-1243834711,7000,2002,215907,Toyota Celica 2002,,,,,https://es.wallapop.com/item/toyota-celica-2002-1243834711,
2026-04-29,wallapop,toyota-celica-2002-1254952125,3990,2002,100000,Toyota Celica 2002,,,,,https://es.wallapop.com/item/toyota-celica-2002-1254952125,
2026-04-29,wallapop,toyota-celica-2003-1111803425,7000,2003,181000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1111803425,https://cdn.wallapop.com/images/10420/id/xt/__/c10420p1111803425/i5846347167.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2003-1199906793,10500,2003,185900,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1199906793,https://cdn.wallapop.com/images/10420/ju/e6/__/c10420p1199906793/i6084861596.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2003-1209425616,4300,2003,260000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1209425616,https://cdn.wallapop.com/images/10420/k0/26/__/c10420p1209425616/i6157802342.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2003-1227432309,4499,2003,160000,TOYOTA CELICA ETIQUETA MEDIOAMBIENTAL B 🟡,,,,,https://es.wallapop.com/item/toyota-celica-2003-1227432309,
2026-04-29,wallapop,toyota-celica-2003-1233140808,5500,2003,230000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1233140808,
2026-04-29,wallapop,toyota-celica-2003-1250443310,5800,2003,402000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1250443310,https://cdn.wallapop.com/images/10420/ko/hc/__/c10420p1250443310/i6422783521.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2003-1252175560,5850,2003,174000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1252175560,https://cdn.wallapop.com/images/10420/kp/ig/__/c10420p1252175560/i6433457567.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2003-1257071891,13000,2003,150000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2003-1257071891,
2026-04-29,wallapop,toyota-celica-2004-1022925334,10000,2004,20000,Toyota Celica Turbo LEER DESCRIPCION,,,,,https://es.wallapop.com/item/toyota-celica-2004-1022925334,
2026-04-29,wallapop,toyota-celica-2004-1164897417,3000,2004,,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1164897417,https://cdn.wallapop.com/images/10420/j9/js/__/c10420p1164897417/i5874173540.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2004-1238013061,5400,2004,250000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1238013061,https://cdn.wallapop.com/images/10420/kh/2w/__/c10420p1238013061/i6516352588.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2004-1241134283,4500,2004,320000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1241134283,
2026-04-29,wallapop,toyota-celica-2004-1242655929,9200,2004,170000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1242655929,https://cdn.wallapop.com/images/10420/kj/uf/__/c10420p1242655929/i6372591882.jpg?pictureSize=W640
2026-04-29,wallapop,toyota-celica-2004-1246948905,7500,2004,170000,Toyota Celica 2004,,,,,https://es.wallapop.com/item/toyota-celica-2004-1246948905,
2026-04-29,wallapop,toyota-celica-2005-1014003197,6000,2003,270000,Toyota Celica 2003,,,,,https://es.wallapop.com/item/toyota-celica-2005-1014003197,https://cdn.wallapop.com/images/10420/gr/pl/__/c10420p1014003197/i4935991630.jpg?pictureSize=W640
